Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:21.87,"urn:cite:hmt:vaimg.VA271VN-0773@0.473,0.4324,0.4,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.88,"urn:cite:hmt:vaimg.VA271VN-0773@0.473,0.452,0.4,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.89,"urn:cite:hmt:vaimg.VA271VN-0773@0.468,0.4692,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.90,"urn:cite:hmt:vaimg.VA271VN-0773@0.467,0.4857,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.91,"urn:cite:hmt:vaimg.VA271VN-0773@0.466,0.506,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.92,"urn:cite:hmt:vaimg.VA271VN-0773@0.467,0.5233,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.93,"urn:cite:hmt:vaimg.VA271VN-0773@0.466,0.5465,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.94,"urn:cite:hmt:vaimg.VA271VN-0773@0.468,0.5631,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.95,"urn:cite:hmt:vaimg.VA271VN-0773@0.47,0.5826,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.96,"urn:cite:hmt:vaimg.VA271VN-0773@0.471,0.6014,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.97,"urn:cite:hmt:vaimg.VA271VN-0773@0.463,0.6201,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.98,"urn:cite:hmt:vaimg.VA271VN-0773@0.462,0.6404,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.99,"urn:cite:hmt:vaimg.VA271VN-0773@0.464,0.6584,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.100,"urn:cite:hmt:vaimg.VA271VN-0773@0.465,0.6757,0.421,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.101,"urn:cite:hmt:vaimg.VA272RN-0442@0.227,0.2087,0.415,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.102,"urn:cite:hmt:vaimg.VA272RN-0442@0.221,0.2297,0.404,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.103,"urn:cite:hmt:vaimg.VA272RN-0442@0.218,0.2515,0.404,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.104,"urn:cite:hmt:vaimg.VA272RN-0442@0.219,0.2658,0.384,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.105,"urn:cite:hmt:vaimg.VA272RN-0442@0.216,0.2853,0.416,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.106,"urn:cite:hmt:vaimg.VA272RN-0442@0.213,0.3041,0.407,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.107,"urn:cite:hmt:vaimg.VA272RN-0442@0.215,0.3206,0.417,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:21.108,"urn:cite:hmt:vaimg.VA272RN-0442@0.209,0.3386,0.322,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.109,"urn:cite:hmt:vaimg.VA272RN-0442@0.21,0.3581,0.403,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.110,"urn:cite:hmt:vaimg.VA272RN-0442@0.208,0.3769,0.402,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.111,"urn:cite:hmt:vaimg.VA272RN-0442@0.205,0.3964,0.358,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.112,"urn:cite:hmt:vaimg.VA272RN-0442@0.209,0.4152,0.376,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.113,"urn:cite:hmt:vaimg.VA272RN-0442@0.207,0.4317,0.367,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.114,"urn:cite:hmt:vaimg.VA272RN-0442@0.202,0.4512,0.411,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:21.115,"urn:cite:hmt:vaimg.VA272RN-0442@0.204,0.4677,0.395,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:21.116,"urn:cite:hmt:vaimg.VA272RN-0442@0.2,0.491,0.417,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:21.117,"urn:cite:hmt:vaimg.VA272RN-0442@0.201,0.5098,0.403,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.118,"urn:cite:hmt:vaimg.VA272RN-0442@0.196,0.5285,0.392,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.119,"urn:cite:hmt:vaimg.VA272RN-0442@0.201,0.5458,0.417,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.120,"urn:cite:hmt:vaimg.VA272RN-0442@0.194,0.5676,0.436,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.121,"urn:cite:hmt:vaimg.VA272RN-0442@0.196,0.5863,0.397,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.122,"urn:cite:hmt:vaimg.VA272RN-0442@0.196,0.6029,0.396,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.123,"urn:cite:hmt:vaimg.VA272RN-0442@0.194,0.6201,0.393,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.124,"urn:cite:hmt:vaimg.VA272RN-0442@0.195,0.6396,0.407,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.125,"urn:cite:hmt:vaimg.VA272RN-0442@0.197,0.6607,0.346,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.126,"urn:cite:hmt:vaimg.VA272VN-0774@0.471,0.2192,0.454,0.0398"
urn:cts:greekLit:tlg0012.tlg001.msA:21.127,"urn:cite:hmt:vaimg.VA272VN-0774@0.468,0.2455,0.426,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.128,"urn:cite:hmt:vaimg.VA272VN-0774@0.47,0.2673,0.426,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.129,"urn:cite:hmt:vaimg.VA272VN-0774@0.473,0.2823,0.421,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.130,"urn:cite:hmt:vaimg.VA272VN-0774@0.475,0.3018,0.417,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.131,"urn:cite:hmt:vaimg.VA272VN-0774@0.473,0.3228,0.415,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.132,"urn:cite:hmt:vaimg.VA272VN-0774@0.472,0.3401,0.407,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.133,"urn:cite:hmt:vaimg.VA272VN-0774@0.472,0.3574,0.425,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.134,"urn:cite:hmt:vaimg.VA272VN-0774@0.471,0.3769,0.401,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.135,"urn:cite:hmt:vaimg.VA272VN-0774@0.471,0.3956,0.383,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.136,"urn:cite:hmt:vaimg.VA272VN-0774@0.469,0.4152,0.423,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.137,"urn:cite:hmt:vaimg.VA272VN-0774@0.47,0.4302,0.378,0.0263"
